ClassValue,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,Total,U_Accuracy,Kappa
C_1,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
C_2,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.600000000000000,0.000000000000000
C_3,0.000000000000000,0.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,43.000000000000000,0.930232558139535,0.000000000000000
C_4,3.000000000000000,1.000000000000000,60.000000000000000,16.000000000000000,0.000000000000000,8.000000000000000,21.000000000000000,5.000000000000000,114.000000000000000,0.140350877192982,0.000000000000000
C_5,0.000000000000000,17.000000000000000,9.000000000000000,2.000000000000000,5.000000000000000,1.000000000000000,9.000000000000000,0.000000000000000,43.000000000000000,0.116279069767442,0.000000000000000
C_6,7.000000000000000,1.000000000000000,56.000000000000000,0.000000000000000,5.000000000000000,28.000000000000000,23.000000000000000,5.000000000000000,125.000000000000000,0.224000000000000,0.000000000000000
C_7,0.000000000000000,0.000000000000000,9.000000000000000,10.000000000000000,21.000000000000000,0.000000000000000,14.000000000000000,0.000000000000000,54.000000000000000,0.259259259259259,0.000000000000000
C_8,0.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,6.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000
Total,10.000000000000000,23.000000000000000,175.000000000000000,30.000000000000000,37.000000000000000,39.000000000000000,76.000000000000000,10.000000000000000,400.000000000000000,0.000000000000000,0.000000000000000
P_Accuracy,0.000000000000000,0.130434782608696,0.228571428571429,0.533333333333333,0.135135135135135,0.717948717948718,0.184210526315789,0.000000000000000,0.000000000000000,0.265000000000000,0.000000000000000
Kappa,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.149120902973736
